+------------------------------------------------------------+----------------------------------+-------------+------------+-------------------------------------------------------------------------+
| Title                                                      | Artist                           | Votes Added | New Rating |                                                          New Votes List |
| Nasty                                                      | Prodigy                          |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Ibiza                                                      | Prodigy                          |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Flat On The Floor                                          | Nickelback                       |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Next To Nothing                                            | Breaking Benjamin                |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Feels So Good                                              | 311                              |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Do You Right                                               | 311                              |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Goofy's Concern                                            | Butthole Surfers                 |       7;7;8 |        7.3 |                                     7;7;8;7;7;8;7;7;8;7;7;8;7;7;8;7;7;8 |
| Strawberry                                                 | Butthole Surfers                 |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Ricky                                                      | Butthole Surfers                 |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Beetlebum                                                  | Blur                             |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Country Sad Ballad Man                                     | Blur                             |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| You're So Great                                            | Blur                             |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Chinese Bombs                                              | Blur                             |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Movin' On                                                  | Blur                             |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Wolves At The Door                                         | Bad Seed Rising                  |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Low                                                        | Foo Fighters                     |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Lonely As You                                              | Foo Fighters                     |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Painless                                                   | Fozzy                            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Right Round                                                | Flo Rida                         |         7;9 |        8.0 |                                                 7;9;7;9;7;9;7;9;7;9;7;9 |
| Only Happy When It Rains                                   | Garbage                          |       7;8;9 |        8.0 |                                     7;8;9;7;8;9;7;8;9;7;8;9;7;8;9;7;8;9 |
| Fix Me Now                                                 | Garbage                          |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| The Weird Revolution                                       | Butthole Surfers                 |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| You Lied                                                   | Green Day                        |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Tired Of Waiting For You                                   | Green Day                        |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| You Borrowed                                               | Helmet                           |       7;8;8 |        7.7 |                                     7;8;8;7;8;8;7;8;8;7;8;8;7;8;8;7;8;8 |
| Total State Machine                                        | KMFDM                            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Burning Brain                                              | KMFDM                            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Oh My Goth                                                 | KMFDM                            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Prologue: Clear Eyed Visions                               | Contemplare Secundum Intentionem |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| WDYWB                                                      | KMFDM                            |       7;8;8 |        7.7 |                                     7;8;8;7;8;8;7;8;8;7;8;8;7;8;8;7;8;8 |
| Automaton                                                  | KMFDM                            |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
